id	username	timestamp	loanword	text	relevance
1065410814989870080	KapaiMe	2018-11-22 14:05	aotearoa	Jacinda Ardern..Prime minister of Aotearoa New Zealand.	relevant
215521954294284000	jcpihama	2012-06-21 07:10	aotearoa	Heading home Aotearoa . Will touch back down in Auckland on Monday morning after a quick visit to Tokyo.	relevant
1001341839306209792	BrownGrunta244	2018-05-29 17:57	aotearoa	Will it be in Aotearoa /New Zealand?	relevant
815026870626357120	scoutriver	2016-12-31 15:48	aotearoa	I used  Aotearoa ' in a Stuff piece during the comments revamp and got real ugly comments abt it	relevant
25275762567	awkward_orchid	2010-09-23 15:49	aotearoa	@fatbellybella spring Equinox for me in the beautiful Aotearoa	relevant
403689889595523072	veganmutiny	2013-11-22 14:02	aotearoa	Just spotted OMC album cover on a colleagues screensaver. Blast from the past. How bizarre!' #otara #millionairesclub #aotearoa #nzmusic	relevant
1037267158458200064	mrschippy15	2018-09-05 21:12	aotearoa	Yet Aotearoa New Zealand, population 4.5 million has won it three times. More than any other nation, bar the USA.	relevant
990451768659079040	LewisHoldenNZ	2018-04-29 16:44	aotearoa	Ahh... sorry to quibble sir, but that wasn't his mission with respect to Aotearoa . It was just to map the place and then GTFO to find the Great South Land (tm)	relevant
531893517115616960	naatiporou	2014-11-11 08:37	aotearoa	@gdcfin_mary @stewari1 #gigatowngis and people can stream live to the sports that we do well in aotearoa with UFB	relevant
943619681503535104	MrSan	2017-12-21 12:10	aotearoa	I assume she spends 3 months doing Secret Santa before moving on to smashing the state and forming the Democratic People’s Republic of Aotearoa . Then she’s on to Secret Easter Bunny	relevant
909562228126366976	WeavingHouse	2017-09-18 11:38	aotearoa	Could all Women of Aotearoa be registered to vote? Can we all vote by Election Day? Cast our vote on the day we’ve been called?	relevant
400560157966364032	ksued	2013-11-13 22:45	aotearoa	@NZMega Too bad, I was hoping for July or August. In October, I will be no longer in Aotearoa . But who already organized a mega in winter.	relevant
157544548539699008	MarconiRebus	2012-01-13 08:28	aotearoa	@realrossnoble No skip across The Ditch to Aotearoa ? Shame.	relevant
