kaupapa (maori)_ki-o-rahi_poi_taiaha,kaupapa (maori),1,,3,cultural,SC,YES
kaupapa (maori)_ki-o-rahi_poi_taiaha,ki-o-rahi,1,,2,cultural,SC,NO
kaupapa (maori)_ki-o-rahi_poi_taiaha,poi,1,,2,cultural,MC,YES
kaupapa (maori)_ki-o-rahi_poi_taiaha,taiaha,1,,4,cultural,MC,YES
hangi_kumara,hangi,1,,1,cultural,MC,YES
hangi_kumara,kumara,1,,3,cultural,FF,YES
pakeha_taonga puoro_waiata,pakeha,1,,2,proper noun,PN,YES
pakeha_taonga puoro_waiata,taonga puoro,1,,2,cultural,MC,NO
pakeha_taonga puoro_waiata,waiata,1,,2,core,SC,YES
kiwi_korero_taiaha_tamariki_whanau,kiwi,1,,1,proper noun,PN,YES
kiwi_korero_taiaha_tamariki_whanau,korero,1,,3,core,SC,YES
kiwi_korero_taiaha_tamariki_whanau,taiaha,1,,4,cultural,MC,YES
kiwi_korero_taiaha_tamariki_whanau,tamariki,1,,2,core,SC,YES
kiwi_korero_taiaha_tamariki_whanau,whanau,1,,1,core,SC,YES
korero_tangata whenua_te reo_te reo maori,korero,1,,3,core,SC,YES
korero_tangata whenua_te reo_te reo maori,tangata whenua,1,,3,cultural,SC,YES
korero_tangata whenua_te reo_te reo maori,te reo,1,,1,core,SC,YES
korero_tangata whenua_te reo_te reo maori,te reo maori,1,,2,proper noun,PN,NO
kapa haka_kohanga (reo)_poi_tamariki_tikanga,kapa haka,1,,1,cultural,SC,YES
kapa haka_kohanga (reo)_poi_tamariki_tikanga,kohanga (reo),1,,3,cultural,SC,YES
kapa haka_kohanga (reo)_poi_tamariki_tikanga,poi,1,,2,cultural,MC,YES
kapa haka_kohanga (reo)_poi_tamariki_tikanga,tamariki,1,,2,core,SC,YES
kapa haka_kohanga (reo)_poi_tamariki_tikanga,tikanga,1,,4,cultural,SC,YES
kawakawa_pakeha,kawakawa,1,,2,core,FF,YES
kawakawa_pakeha,pakeha,1,,2,proper noun,PN,YES
puanga_te puni kokiri,puanga,2,,1,cultural,FF,NO
puanga_te puni kokiri,te puni kokiri,2,,3,proper noun,PN,YES
kiwi_marae_non-maori_pakeha_taonga_te puni kokiri_te reo_te reo maori,kiwi,1,,1,proper noun,PN,YES
kiwi_marae_non-maori_pakeha_taonga_te puni kokiri_te reo_te reo maori,marae,1,,1,cultural,MC,YES
kiwi_marae_non-maori_pakeha_taonga_te puni kokiri_te reo_te reo maori,non-maori,1,,4,proper noun,PN,YES
kiwi_marae_non-maori_pakeha_taonga_te puni kokiri_te reo_te reo maori,pakeha,1,,2,proper noun,PN,YES
kiwi_marae_non-maori_pakeha_taonga_te puni kokiri_te reo_te reo maori,taonga,1,,4,core,SC,YES
kiwi_marae_non-maori_pakeha_taonga_te puni kokiri_te reo_te reo maori,te puni kokiri,1,,3,proper noun,PN,YES
kiwi_marae_non-maori_pakeha_taonga_te puni kokiri_te reo_te reo maori,te reo,1,,1,core,SC,YES
kiwi_marae_non-maori_pakeha_taonga_te puni kokiri_te reo_te reo maori,te reo maori,1,,2,proper noun,PN,NO
aotearoa_kiwi,aotearoa,1,,1,proper noun,PN,YES
aotearoa_kiwi,kiwi,1,,1,proper noun,PN,YES
hikoi_kiwi_kohanga (reo)_pakeha,hikoi,1,,4,cultural,SC,YES
hikoi_kiwi_kohanga (reo)_pakeha,kiwi,1,,1,proper noun,PN,YES
hikoi_kiwi_kohanga (reo)_pakeha,kohanga (reo),1,,3,cultural,SC,YES
hikoi_kiwi_kohanga (reo)_pakeha,pakeha,1,,2,proper noun,PN,YES
iwi_kauri,iwi,1,,1,cultural,SC,YES
iwi_kauri,kauri,1,,4,core,FF,YES
hapu_iwi_kapa haka_kaupapa (maori)_ki-o-rahi_pakeha_pou,hapu,1,,4,cultural,SC,YES
hapu_iwi_kapa haka_kaupapa (maori)_ki-o-rahi_pakeha_pou,iwi,1,,1,cultural,SC,YES
hapu_iwi_kapa haka_kaupapa (maori)_ki-o-rahi_pakeha_pou,kapa haka,1,,1,cultural,SC,YES
