kaupapa (maori)_ki-o-rahi_poi_taiaha,kaupapa (maori),1,,SC,cultural,1,YES
kaupapa (maori)_ki-o-rahi_poi_taiaha,ki-o-rahi,1,,SC,cultural,1,NO
kaupapa (maori)_ki-o-rahi_poi_taiaha,poi,1,,MC,cultural,1,YES
kaupapa (maori)_ki-o-rahi_poi_taiaha,taiaha,1,,MC,cultural,1,YES
hangi_kumara,hangi,1,,MC,cultural,1,YES
hangi_kumara,kumara,1,,FF,cultural,1,YES
pakeha_taonga puoro_waiata,pakeha,1,,PN,proper noun,1,YES
pakeha_taonga puoro_waiata,taonga puoro,1,,MC,cultural,2,NO
pakeha_taonga puoro_waiata,waiata,1,,SC,core,1,YES
kiwi_korero_taiaha_tamariki_whanau,kiwi,1,,PN,proper noun,1,YES
kiwi_korero_taiaha_tamariki_whanau,korero,1,,SC,core,1,YES
kiwi_korero_taiaha_tamariki_whanau,taiaha,1,,MC,cultural,1,YES
kiwi_korero_taiaha_tamariki_whanau,tamariki,1,,SC,core,1,YES
kiwi_korero_taiaha_tamariki_whanau,whanau,1,,SC,core,1,YES
korero_tangata whenua_te reo_te reo maori,korero,1,,SC,core,1,YES
korero_tangata whenua_te reo_te reo maori,tangata whenua,1,,SC,cultural,2,YES
korero_tangata whenua_te reo_te reo maori,te reo,1,,SC,core,2,YES
korero_tangata whenua_te reo_te reo maori,te reo maori,1,,PN,proper noun,3,NO
kapa haka_kohanga (reo)_poi_tamariki_tikanga,kapa haka,1,,SC,cultural,2,YES
kapa haka_kohanga (reo)_poi_tamariki_tikanga,kohanga (reo),1,,SC,cultural,2,YES
kapa haka_kohanga (reo)_poi_tamariki_tikanga,poi,1,,MC,cultural,1,YES
kapa haka_kohanga (reo)_poi_tamariki_tikanga,tamariki,1,,SC,core,1,YES
kapa haka_kohanga (reo)_poi_tamariki_tikanga,tikanga,1,,SC,cultural,1,YES
kawakawa_pakeha,kawakawa,1,,FF,core,1,YES
kawakawa_pakeha,pakeha,1,,PN,proper noun,1,YES
puanga_te puni kokiri,puanga,2,,PN,cultural,1,NO
puanga_te puni kokiri,te puni kokiri,2,,PN,proper noun,3,YES
kiwi_marae_non-maori_pakeha_taonga_te puni kokiri_te reo_te reo maori,kiwi,1,,PN,proper noun,1,YES
kiwi_marae_non-maori_pakeha_taonga_te puni kokiri_te reo_te reo maori,marae,1,,MC,cultural,1,YES
kiwi_marae_non-maori_pakeha_taonga_te puni kokiri_te reo_te reo maori,non-maori,1,,PN,proper noun,1,YES
kiwi_marae_non-maori_pakeha_taonga_te puni kokiri_te reo_te reo maori,pakeha,1,,PN,proper noun,1,YES
kiwi_marae_non-maori_pakeha_taonga_te puni kokiri_te reo_te reo maori,taonga,1,,SC,core,1,YES
kiwi_marae_non-maori_pakeha_taonga_te puni kokiri_te reo_te reo maori,te puni kokiri,1,,PN,proper noun,3,YES
kiwi_marae_non-maori_pakeha_taonga_te puni kokiri_te reo_te reo maori,te reo,1,,SC,core,2,YES
kiwi_marae_non-maori_pakeha_taonga_te puni kokiri_te reo_te reo maori,te reo maori,1,,PN,proper noun,3,NO
aotearoa_kiwi,aotearoa,1,,PN,proper noun,1,YES
aotearoa_kiwi,kiwi,1,,PN,proper noun,1,YES
hikoi_kiwi_kohanga (reo)_pakeha,hikoi,1,,SC,cultural,1,YES
hikoi_kiwi_kohanga (reo)_pakeha,kiwi,1,,PN,proper noun,1,YES
hikoi_kiwi_kohanga (reo)_pakeha,kohanga (reo),1,,SC,cultural,2,YES
hikoi_kiwi_kohanga (reo)_pakeha,pakeha,1,,PN,proper noun,1,YES
iwi_kauri,iwi,1,,SC,cultural,1,YES
iwi_kauri,kauri,1,,FF,core,1,YES
hapu_iwi_kapa haka_kaupapa (maori)_ki-o-rahi_pakeha_pou,hapu,1,,SC,cultural,1,YES
hapu_iwi_kapa haka_kaupapa (maori)_ki-o-rahi_pakeha_pou,iwi,1,,SC,cultural,1,YES
hapu_iwi_kapa haka_kaupapa (maori)_ki-o-rahi_pakeha_pou,kapa haka,1,,SC,cultural,2,YES
hapu_iwi_kapa haka_kaupapa (maori)_ki-o-rahi_pakeha_pou,kaupapa (maori),1,,SC,cultural,1,YES
hapu_iwi_kapa haka_kaupapa (maori)_ki-o-rahi_pakeha_pou,ki-o-rahi,1,,SC,cultural,1,NO
hapu_iwi_kapa haka_kaupapa (maori)_ki-o-rahi_pakeha_pou,pakeha,1,,PN,proper noun,1,YES
hapu_iwi_kapa haka_kaupapa (maori)_ki-o-rahi_pakeha_pou,pou,1,,MC,cultural,1,NO
hikoi_tamariki,hikoi,1,,SC,cultural,1,YES
hikoi_tamariki,tamariki,1,,SC,core,1,YES
puanga_te puni kokiri,puanga,1,,PN,cultural,1,NO
puanga_te puni kokiri,te puni kokiri,1,,PN,proper noun,3,YES
korero_whanau,korero,1,,SC,core,1,YES
korero_whanau,whanau,1,,SC,core,1,YES
kaupapa (maori)_non-maori,kaupapa (maori),1,,SC,cultural,1,YES
kaupapa (maori)_non-maori,non-maori,1,,PN,proper noun,1,YES
hangi_whanau,hangi,1,,MC,cultural,1,YES
hangi_whanau,whanau,1,,SC,core,1,YES
ki-o-rahi_poi,ki-o-rahi,1,,SC,cultural,1,NO
ki-o-rahi_poi,poi,1,,MC,cultural,1,YES
hikoi_hui_korero_marae_te puni kokiri,hikoi,1,,SC,cultural,1,YES
hikoi_hui_korero_marae_te puni kokiri,hui,1,,SC,core,1,YES
hikoi_hui_korero_marae_te puni kokiri,korero,1,,SC,core,1,YES
hikoi_hui_korero_marae_te puni kokiri,marae,1,,MC,cultural,1,YES
hikoi_hui_korero_marae_te puni kokiri,te puni kokiri,1,,PN,proper noun,3,YES
aotearoa_kapa haka_mauri_non-maori,aotearoa,1,,PN,proper noun,1,YES
aotearoa_kapa haka_mauri_non-maori,kapa haka,1,,SC,cultural,2,YES
aotearoa_kapa haka_mauri_non-maori,mauri,1,,SC,cultural,1,YES
aotearoa_kapa haka_mauri_non-maori,non-maori,1,,PN,proper noun,1,YES
karakia_powhiri_waka_whanau,karakia,1,,SC,cultural,1,YES
karakia_powhiri_waka_whanau,powhiri,1,,SC,cultural,1,YES
karakia_powhiri_waka_whanau,waka,1,,MC,cultural,1,YES
karakia_powhiri_waka_whanau,whanau,1,,SC,core,1,YES
hui_marae,hui,1,,SC,core,1,YES
hui_marae,marae,1,,MC,cultural,1,YES
taonga_te reo maori,taonga,1,,SC,core,1,YES
taonga_te reo maori,te reo maori,1,,PN,proper noun,3,NO
